Comments,Sentiment,Aspect
እኔ የዚህ ችግር ተጠቂ ነኝ አመልክቸ ነበር  ቀን ሆኖኝል ከርዱ አተሙላልኝም,Negative,Price
ስጦታው ቀርቶብን በብራችን ገዝተን በአግባቡ መጠቀም አልቻልንም እባካችሁ አታጭበርብሩን,Negative,Service
ስጦታው ቀርቶብን የምነሰረቀውን ገንዘብ መልሳችሁልን በአግባቡ እነድንጠቀም ብትሰሩ የተሻለ ,Negative,Service
ምነ ስጦታችሁን እና ቅናሻችሁን ትታችሁ በገንዘባችን በስነስርዓቱ ብንጠቀም ምናለ ባትቀልዱብን,Negative,Price
በመጀመሪያ ሲስተሙን አስተካክሉት,Negative,Price
አረ ቴሌዎች በህግ አምላክ ኔትወርካችሁን በጥራት እንደሰራ አድርጉልን ሌላ ምንም አንፈልግም   መለየት አቃጠን እኮ ምንድን ነዉ,Negative,Price
ሰራተኛውን ያላካተተ ውይይት ከንቱ  የሚሰራው ሰራተኛው የሚያጨበጭበው አመራሩ አብዛኛውን ትርፍ የሚቋደሰው አመራሩ  ከዚህ ድርጊት ተቆጠቡ,Negative,Price
"ታሪፍ በተለይ የዳታ አሻሽሉ እጅግ ዝርፊያ  የሆነብን ሊሻሻል ይገባል
",Negative,Price
ችግር ፈች ትመስላላችሁ ወሬ  ስታሳምሩ,,
አረ ታሪፍ ቀንሱልን ሌቦች,Negative,Price
ጥሩ ጥሩ ማደንዘዣ ለመስጠት እየተሞከረ ,Negative,Quality
አመታዊ የኢንተርኔት ተጠቃሚ ነኝ ነገር ግን በየወሩ ብር ካልሞላሁበት  ያደርገዋል,Negative,Service
እንደ ቴሌ ቋቅ ያለኝ ነገር የለም አማራጭ ስለሌለ እንጂ,,
የፈለጉትን ያህል ጥራት ሳይገለገሉ መክፈል በጣም ያበሳጫል  ለዚያውም ተመጣጣኝ ያልሆነ ክፍያ,,
በጣም ታሳፍራላቹ አሳፋሪ በጣም ታሳፍራላቹአሳፋሪ ተቋም,Negative,Service
ብዙ ነገር አሻሽለናል ይባላል እጅ ብዙም አርኪ አይደለም,Negative,Price
ኢትዮቴሌኮም ትኩረት የሚሠጠው ለትላልቅ ጉዳዮች  ለግለሰብ ግን አንድም ቀን መልስ አልሠጠም,Negative,Service
በፀጥታ ችግር ብላችሁ ሳንጠቀምበት የወሰዳችሁትን ዳታ መልሱ ር  ተመልሷል ብሎ ቴክስት ልኮ መሸወድ ሌብነት ,Negative,Service
መታዊ ያልተገደበ ኢንተርኔት ፓኬጅ ገዝቼ ነበር እየሰራልኝ አይደለም,Negative,Service
ዛሬስ ሰለቸን አበዛችሁት ስልካችን ብር አበረከተልንም ተዘረፍን የኑሮ ውድነትን ከተሌጋ ተደምሮ አልቸልንም,Negative,Price
ሲስተማችሁ እያስቸገረን ,Negative,Service
እረ ባካችሁ   አይሰራም  ከተደረገ ቡሀላ,Negative,Service
የአገልግሎት ማብቂያው አልተጠቀሰም,Negative,Service
በ እውነት ሳልፈልግ የቴሌ ደንበኝነቴን ላቋርጥ   ዳታ ሲም ላይ ያላችሁ አሰራር ደስ አይልም ,Negative,Service
አመታዊ ዳታ ገዝተን አልሰራ አለ,Negative,Service
 የናንተ ኔትዎርክ በየትኛውም ሰአት በቂ የሆነ ፍጥነት የለውም ,Negative,Price
አይ ቴሌ እንዲሁ እንዳዛጋችሁ ኖራችሁ ተመስገን አሁን ልንፋታችሁ ነዉ,Negative,Service
ገራሚ ቢዝነስ  የምትሰሩ ቦጥቡጡን እንዴት k ሳይሰራ ብር ትቆርጣላቹህ,Negative,Service
ቴሌብር ብዙ ብዙ ችግር ያለበት ዘረፋ የበዛበት ተሳስተም አሰራር ,Negative,Service
ጥቅሎን ይቀይሩ እየሰራልኝ አይደለም ይስተካከል,Negative,Service
  አልሰራ ብሎኛል መላ በሉልኝ,Negative,Service
ጥቅሎን ይቀይሩ እየሰራልኝ አይደለም ይስተካከል,Negative,Service
በጥሩ ሁኔታ እያሳለፍን  ግን ከይቅርታ ጋር ጥቅሉ ገዝተን ሊቆይ አልቻለም ም,Negative,Service
ዳታ ጥቅል አበላል ግን በጣም እየበላቹህን ,Negative,Price
ያለ k እያሳለፍን  ,Negative,Service
 ሁሉም ከእኛ ጋር  ለካ እናመሰግናለን ,Negative,Service
ማይ ኢትዮቴል  ግን እየሰራ ከይደለም,Negative,Service
በወደቀ ኢኮኖሚ ብዙ ታወራላችሁ,Negative,Service
የመብራት ኃይል ጋር ያላችሁስ ሲስተም ጥሩ አደለም,Negative,Service
ሞጣ ላይ ኔቶርክ ተዘክቷል ክፈቱት,Negative,Price
በየ ከተማው ያሉ የቴሌ ብር ወኪሎች ምንም እየሰሩ አይደለም,Negative,Service
እስኪ መጀመሪያ  k በስርዓት ይስራ አዴት ወረዳ ኢንተርኔት ፍጥነት በጣም ቀርፋፋ ,Negative,Service
በዚህ ኑሮ ውድነት ቴክኖሎጅ በላይ በላይ ፋይዳው አይታየኝም ,Negative,Service
እኛ  በትክክል ሳይሰራልን  እያሉ ምንድ ወከባ መፍጠር,Negative,Service
 እና ሮባትክ ስራ አንድ ላይ ማስተዋወቁ ምን አገናኘው,Negative,Service
ከሰሞኑን ምን እደሆነ አለውቅም እራሱ በጣም ሳንቲም እየበላብኝ ,Negative,Service
ኧረ ጎበዝ በቆጂ እኮ ምንም አይነት ኔትዎርክ የለም ,Negative,Service
ፅድቁ ቀርቶ በቅጡ እስኪ መጀመሪያ አአ የሚተበረገውን ሌሎች የአገሪቱ ክፍሎች ላይም ተግብሩ,Negative,Service
ሰው ያልተጠቀመበትን ብር በልቶ በአመቱ መጨረሻ ቢሊዮን አትረፍኩ አይባልም ር ,Negative,Service
እስቲ መጀመሪያ  በአግባቡ ለሁሉም አዳርሱ,Negative,Service
እኛ ደቡብ ምዕራብ ክልል  አልተጠቀምንም ነገር እናንተ  ተጠቀሙ ስትሉ በጣም ያሳዝናል  ,Negative,Service
መጀመሪያ  ን ወደ ሥራ አስገቡ ,Negative,Price
 መጀመሩ በጣም ደስ ይላል ነገር ግን  ው ይህን ሁለት ቀን በጣም ደክሟል ,Negative,Service
የብሮድባንድ ኢንተርኔት ስፒድ በተደጋጋሚ እየወረደብኝ ሳስመዘግብ ችግሩን ለይቶ መፍትሔ ከመስጠት ይልቅ መሠላቸት ,Negative,Service
ቱጂ እንኳን አልሰራልንም ጂ አተበሉንቱጂ እንኳን አልሰራልንም ጂ አተበሉን,Negative,Price
 የምንጠቀምበት ኢንተርኔት አገልግሎት በጣም በተደጋጋሚ የሚቆራረጥፍጥነቱ በጣም ደካማ  አጠቃላይ ማሻሻያ ሲያደርግ ፍጥነቱ ተሻሻለ ብንባልም ለውጥ የለውም ,Negative,Service
ጎንደር ላይ ኢንተርኔት በነፃ ምታስጠቅሙንይመስል በየጊዜው አታጥፉብን ልቀቁልን,Negative,Service
እኔ ከተመዘገብኩ ቆይቻለሁ ግን ምንም ነጥብ አልተሰጠኝም,Negative,Service
ከቃሊታ አለፍ ብሎ  በአግባቡ አይሰራም,Negative,Service
በምስራቁ ክፍል   ብቻ  የሚሰራልን አይሰራም,Negative,Service
ተመዝግቤነበር የተላከልኝ ሜሴጅ ሰለ አሻሞ አልገባኝም,Negative,Service
? እኛ እንጨት እያወጣን እንደውላለን እናንተ ግን አውሩ ሀገሬ መምጫሽ ናፈቀኝ ,Negative,Service
ምንዋጋ አለዉ ቁጥር ብቻ ሆነ ኒትወርክ የለ ከሚሰራበት የማይሰራበት ቀን ይበልጣልም,Negative,Service
ኸረ  ቀርቶብን ው በትክክል በሰራልን ጥሩ ነበር ድንቄም ,Negative,Service
የኛን ድካም እንደቀነሳችሁ የናንተንም ድካም የሚቀንስ ሳፋሪኮም ይምጣ,Negative,Service
ሀገር ሰላም  ብዬ ኢንተርኔት ለመጠቀም ካርድ ስሞላ አየር ላይ ለድምፅ ብሎ ይወስዳል ባለማወቅ ብዙ ጊዜ ተበልቻለው ,Negative,Service
በቋሚነት የነበርውን ጥቅል ለማቋርጥ አስቸገረኝ,Negative,Service
ጥቅሉ አንዴ ከተገዛ በኋላ ሲያልቅ በራሳችሁ መግዛት ትችላላችሁ ተብሎ ነበር ግን እስከአሁን አልተቻለም,Negative,Service
  አይሰራም መፍትሔ ፈልጉልኝ,Negative,Service
በቴሌ ብር ፓርትነር መተግበሪያ ይህንን የኢድ ጥቅል ላገኘው አልቻሉም ,Negative,Service
ምተወሩት ነገርና ተግባራችሁ  አይገነኝም,Negative,Service
ለተማሪ ብታዝኑ የሌሊት አታደርጉም ነበር,Negative,Price
    አይከፍትም,Negative,Service
 መች በትክክል ሰራ  ምናምን እኛ ስሙ ነይቶሪክ አይሆነንም አትቀልዱብን ጭራሽ ,Negative,Service
ኧረ በናታችሁ ሙድ አትያዙ እና  እንኳን በ አግባቡ ሊሰራልን አልቻለም,Negative,Service
በ አስመሣዮች ብራችን እየተወሠደ ,Negative,Service
 የቴሌ ብር ጉዳይ በጣም የሌብነት በር ተከፍቶአል መላ በሉት,Negative,Service
ችግሩ በጣም ዉድ በማስከፈል ከአለም አንደኛ ናችሁ ቀነስን ትላላችሁ እንጂ   በጣምምም ዉድ ነዉ,Negative,Service
በቴሌብር ተጠቅሜ እቃዎች ገዝቻለው ግን ነጥብ አልጨመረልኝም,Negative,Service
የአሻም ቴሌ የአገልግሎት ጊዜው ማብቂያው  አልተጠቀሰም,Negative,Service
በ እውነት ሳልፈልግ የቴሌ ደንበኝነቴን ላቋርጥ   ዳታ ሲም ላይ ያላችሁ አሰራር ደስ አይልም,Negative,Service
ገራሚ ቢዝነስ  የምትሰሩ ቦጥቡጡን እንዴት k ሳይሰራ ብር ትቆርጣላቹህ,Negative,Service
ዋይፋይ ተቋርጦብናል  የደንበኞች አገልግሎት ስናመለክት ተመዝግቧል እንባላለን ግን ማንም የጠየቀን ወይም ሊጠግን የመጣ አካል የለም ,Negative,Service
በጣም ይገርማችዋል ላለፉት  ወይም  አመት በስልኬ ደውዬ  ላይ መረጃ ማግኘት እንዳልችል ብሎክ አድርገውኛል አዲሱ ቴሌ ናፈቀኝ,Negative,Price
አሻም ቴሌ አልገባኝም,Negative,Service
 አፑ አልሰራም አለኝ ለማውረድም እምቢ አለኝ,Negative,Service
 አይሰራም እኮ,Negative,Quality
በርቱልን እግዚአብሔር ሀገራችንን ይባርክልን,Negative,Price
ለተማሪ ብታዝኑ የሌሊት አታደርጉም ነበር,Negative,Service
ኧረ እባካችሁ ንገሩኝ መፍትሄውን ካርድ በሞላሁ ቁጥር በራሱ ጊዜ ጥቅል እየገዛ ተቸገርኩ,Negative,Service
አኔ የድምጽ እና መልእክት ፓኬጅ ጊዚው ከማለቁ በፊት ወደ ዳታ ለመቀየር በተደጋጋሚ ብሞክርም አፑ የማይሠራ በመሆኑ ፓኬጁ ሳልጠቀምበት ተቃጥሏል,Negative,Service
የጽሑፋን ወደ ድምፅ ለመቀየር በተደጋጋሚ ሞክሬ ነበር ነገር ግን የጽሑፋን ወደ ድምፅ ለመቀየር በተደጋጋሚ ሞክሬ ነበር ነገር ግን አይቀይርም,Negative,Quality
ፓኬጅ ኮንቨርትና ትራንስፈር ሊሰራልኝ አልቻለም አፕሊኬሽኑ መፍትሔ ካላችሁ,Negative,Quality
ኧረ ባካችሁ የ    ላይ ልቀቁልን አልያም ትክክለኛውን k ስጡን ባካችሁ,Negative,Quality
 ራሱ ዳታ ስንጠቀም በመብረቅ ፍጥነት ሂሳባችንን ቅርጥፍ እያደረገብን ተቸገርን  ሲሆን እንዴት ልንሆን ?,Negative,Service
ኸራ መላ በሉኝ ስልኬ ዳታ ከልክ ይቆጥርብኛል ,Negative,Service
በቴሌብር የመብራት ክፍያ ከፍዬ ግን ሁለቴ  የቆረጠብኝ,Negative,Quality
በቴሌብር የመብራት ክፍያ ከፍዬ ግን ሁለቴ  የቆረጠብኝ,Negative,Quality
ውድ የተከበራችሁ የኢትዬ ቴሌኮም ሰራተኛች የተማሪዎች ጥቅል ገዝተን ከዳታ ወደ ድምጽ እና ከድምጽ ወደ ዳታ ማዟዟር አልቻልንም,Negative,Quality
ቆይ ግን ለምንድ ለተማሪ ቅናሽ የማታደርጉት ቅናሽ  ተብለን ስንጠይቅ የለሊት  ይሉናል እኛ ኢንተርኔት ለመጠቀም ሌት መነሳት አለብን,Negative,Quality
ወርሀዊ የድምፅ ጥቅል ነበር የምጠቀመዉ አሁን የተማሪ ጥቅል ተመዝግቤ ግን የሚሞላው የዱሮውን የድምፅ ጥቅል  ,Negative,Price
ማታ እስከ  ሰዓት  ኢንተርኔት በጣም ያስቸግራል,Negative,Price
ከድምፅ ዎደ እንተርኔት ጥቅልን እንዴት መዞር ይቻላል ሥሞክር ማዞር ኣልቻልኩም,Negative,Quality
ቴሌብር ብዙ ብዙ ችግር ያለበት ዘረፋ የበዛበት ተሳስተም አሰራር ,Negative,Service
በቴሌ ብር የ ክፍያ ፈጽሜ እንኳ አልከፈልክም ብላችሁኛልአይደለም የሌላውን የራሳችሁን ሀላፊነት በቀዳሚነት ተወጡ ,Negative,Quality
ገራሚ ቢዝነስ  የምትሰሩ ቦጥቡጡን እንዴት k ሳይሰራ ብር ትቆርጣላቹህ,Negative,Service
 ሺ ብር በላይ ማስቀመጥ የማይቻልበት ሲስተም ይዛችሁ እንደ ባንክ እኩል ለምን ታወራላችሁ,Negative,Quality
ያለዘርፋችሁ የባንክ ስራ እየሰራችሁ የድርሻችሁን ትኩረት ማድረግ ተዋችሁት,Negative,Quality
የቴሌ ዘርፍ በወሬ ብቻ  ያደገው ለመቶ ደንበኛ የታሰበውን አገልግሎት ለ መቶ ሽህ ደንበኛ ሰጥታችሁ አገልግሎቱን ገደላችሁት,Negative,Quality
ኤረ ፈጣሪን ፍሩ በደከመ አገልግሎት ሚዲያ ላይ ታንጫጫላችሁ አይደል ጥሩ አገልግሎት እንደተሠጠ አደርጋችሁ,Negative,Quality
እባኮት ቴለብር ላይ ብር ከሠራን በኃላ ተይዞብን ይለቀቃል እየተባለ እስካሁን አልተለቀቀም,Negative,Quality
ለምንድ ያልተገደበ ፕርምየም ዳታ ከ  ወደ  ብር የገባው,Negative,Price
ኢንተርኔት ጭራሽ አታስቡትም ልትሰሙንም ፈቃደኛ አይደላችሁም,Negative,Service
የሽያጭ ማእከሎች እና ይቅር ጫፍ ቢሮዎች የስራ ሰአት እንዴት  አልገባኝምከሰአት    ገብተው  ሰአት በር ይዘጋሉ,Negative,Service
በየ ከተማው ያሉ የቴሌ ብር ወኪሎች ምንም እየሰሩ አይደለም ሁሉም ጋ የለንም  ሚሉ,Negative,Accessability 
ቴሌ ብር የሚሠጠውን ማበረታቻ ለኔ ሥለተላከ ሢሜ ተዘግቷል ለምድ የዘጋችሁት እእእ ምን ችግር አለው,Negative,Quality
ደብረ ኤልያስ እና አካባቢው  ኮኔክሽን በትክክል በሁሉም ቦታ አይሰራም እንደውም ሰው በበዛበት ቀን ወይም ለክረበሀል መደወል አይችልም ,Negative,Quality
እኛ  በትክክል ሳይሰራልን  እያሉ ምንድ ወከባ መፍጠር,Negative,Price
ከሰሞኑን ምን እደሆነ አለውቅም እራሱ በጣም ሳንቲም እየበላብኝ ,Negative,Service
 ያልደረሰበት ቦታ አለ  በትክክል እየሰራም አይደለም,Negative,Service
 እንኳን በትክክል መጠቀም አልቻልንም,Negative,Accessability 
አሻም ቴሌ የሚሠበሠበው ነጥብ ምድ ሜጋባይት ወይስ ደይቃ ? አሃድ የለውም,Negative,Service
ኢንተርኔት ተጠቃሚ ለመሆን ተመዞግቤ ሁሉት ሳምንት አለፈኝ ካንሰል ተደርጓል ብለውኛል ምከንያቱን የሚናገረ ገን የለም,Negative,Quality
ከሳምት ወድህ በጣም የንትወርክ ችግር አለየችግሩ መንስኤ የምያስታውቅ አካል የለም,Negative,Quality
ይህ የኔቶርክ አገልግሎት ግን ብዙዎቹን የሀገራችንን አካባቢዎች አለማካተቱና የሚጠቀመው የሞባይል ማቴሪያል ውሥን መሆኑ ቅር አሠኝቶናል,Negative,Price
 ተቋርጦብኝ ደጋግሜ ቴሌ ብደው አታነሱም ስልክ,Negative,Quality
እንኳን  ኔትወርክ ሊደርሰን ይቅር እና ለድምፅ እንኳን የሚሆን ኔትወርክ ማግኘት ያልቻልንበት ሁኔታ  ያለው,Negative,Quality
ኧረ   ራሱ እየሰራልን አይደለም,Negative,Service
ወገኞች መሀል አዲስ አበባ  በአግባቡ ሳይኖር  ምናምን እያላችሁ ትቀደዳላችሁ,Negative,Service
እስቲ  አስጠቅሙን መጀመሪያጂን ሳታዳርሱ የምን ጂ ምናምን  ወይስ አደረግን ለማለት ብቻ ,Negative,Quality
እናንተ ስለ  ታወራላችሁ መጀመሪያ  በሁሉም ከተሞች ሳታዳርሱ ,Negative,Accessability 
እኛ  እና  አልሰራም ብሎናል እናተ ሌላ ነገር ታወራለችሁ ይህንን በደንብ አስተካክሉት ወሬ ብቻ,Negative,Service
ውድ ቴሌዋች  አልፈው ወደ ግ እየ ተሰራ  ግን በቦረና ዞን  እና  እንኩዋን በትክክል አይሰራም,Negative,Quality
እኛ  አልተጠቀምንም ነገር እናንተ  ተጠቀሙ ስትሉ በጣም ያሳዝናል,Negative,Quality
 የሚትሉ k ከመጣ ወዲህ እኛ የሚንጠቀመት  ፍጥነቷን ቀነሰች,Negative,Quality
እናንተ ስለ ኛ ትውልድ  ምታወሩት እኛ ግን ኛን ራሱ ለመጠቀም አልቻልንም,Negative,Quality
በእጃቹ ላይ ያለዉን እንኳን በጥራት ማቅረብ አልቸላቹም ,Negative,Quality
እሁንም ኢትዬጵያ በኢንተርኔት ክፋያ ከአለም ኛ ናት,Negative,Quality
እረ እባካችሁ አአ ላይ የውሃ በቴሌ ብር መክፈል አልተቻለም,Negative,Accessability 
በቅድሚያ ኔትወርክ የሌላቸውን አካባቢዎች ኔትዎርክ አዳርሱ,Negative,Quality
ኔትወርካችን በጣም አቸግሮናል አረመፍትሄ ካላችሁ ሳምንት ሆነዉ ለምድነዉ መልስ የማይሰጠን,Negative,Quality
አብዛኛውን ጊዜ ዩቲዩብ በደንብ አያጫውትም ይቆራረጣል,Negative,Quality
በትክክል የደወሉላቸው ደምበኛ ማግኘት አይችሉም የሚለው የኔት ችግሩን ከዋናው መሃል ከተማው መዲናዋ አ አ  እና ዙሪያው ችግሮቹ ሳይቃለሉ ,Negative,Quality
 ኢንተርኔት አገልግሎት በተደጋጋሚ የሚቆራረጥፍጥነቱ ደካማ በቅርቡ  አጠቃላይ ማሻሻያ ሲያደርግ ፍጥነቱ ተሻሻለ ብንባልም ለውጥ የለውም ,Negative,Price
በየወሩ ያልተጠቀምንበትን የአገልግሎት ክፍያ  የምንከፍለው,Negative,Service
ጎንደር ላይ ኢንተርኔት በነፃ ምታስጠቅሙንይመስል በየጊዜው አታጥፉብን ልቀቁልን,Negative,Accessability 
አረ  አንሱልን መች  የሚሰራው,Negative,Service
እኔ ከተመዘገብኩ ቆይቻለሁ ግን ምንም ነጥብ አልተሰጠኝም እየተደዋወልኩ ካርድም እየሞላሁ  ለምን  የማይሰጠኝ,Negative,Quality
ወሎ መካነ ሰላም  ሌሊት ካልሆነ በስተቀር አይሰራም መላ ብትሉን,Negative,Quality
ኧረ ባካችሁ ቴላዎች እዳ ሳይኖርብኝ የአዬር ሰዓት እዳ አለብህ እየተባልኩ  የጥሪ ማእከላችሁ  ደግሞ እየሰራ አይደለም,Negative,Quality
አረ ተዉ ተለመኑን ፖለቲካ እና ቴሌ ምን አገናኝቶት ነዉ የጎንደር ከተማ ኢንተርኔት ዘግታችሁ የምትረብሹን,Negative,Quality
ሽልመት ምነምን ብለችሁ አተሽቀብጡ ወሽት  የበዓልን ሽልመት ምን አደርገችሁት ሁሉም አልደረሰኝም ይለል,Negative,Quality
ግን ነጥብ የሚሰበሰበው እንደምጠቀመው አደለም ብታዩት,Negative,Service
 ተመዝግበሻል ይለኛል ከዛ k ስነካ ይጠፋል,Negative,Service
እባካችሁ ግልጽ አርጉት ምንም አልገባኝም ተመዝገበዋል ብሎኛል ያየሁት አዲስ ነገር የለም ስለምንድ ጥቅሙ,Negative,Accessability 
አሻም ሲመዘገቡ  ይቆርጣል መሰለኝ     ቆርጦብኛል,Negative,Service
ማይ ኢትዮቴል ለመክፈት በጣም ያስቸግራል ማብራሪያ በተለይ ፓስወርድ ቶሎ አይከፍትም,Negative,Service
አገልግሎቱ እንደጀመረ ነበር የተመዘገብኩት ግን እስካሁን ምንም ዓይነት ነጥብ አልተሰጠኝም,Negative,Service
ከተመዘገብኩ ቆየሁ ስልክ ና ኢንተርኔት በየቀኑ እጠቀማለሁ ያለኝን ነጥብ ሳየው   የሚል ለምን ?,Negative,Service
ተመዝገቡ ተመዝገቡ ብላችሁ ቴሌ ብር ተመዘገብን አገልግሎቱን ግን ለመስጠት ፍቃደኛ አደላችሁም,Negative,Service
እኔ ተመዝግቤያለሁ ፓከጅም ገዝቼ እየተጠቀምኩ ነዉ ነገር ግን እስካሁን ምንም ነጥብ የለኝም ,Negative,Service
ምንዋጋ አለዉ ቁጥር ብቻ ሆነ ኒትወርክ የለ ከሚሰራበት የማይሰራበት ቀን ይበልጣል,Negative,Price
ወደ አፍርካ ሀገረት ለምን ውድ ሆኑ ከውጭ ላሉ ወገኖቻችን ስልክ ለመደወል ለ ደቂቃ  ብር ለ ደቂቃ  ብር መክፈል እጅግ በጣም ውድ,Negative,Service
በዚህ ኑሮ ውድነት ላይ ሌላ ተጨማሪ ወጪ?,Negative,Service
በቴሌ ብር የወር ያለተገደበ ገዝቼ የ  ፐርሰንት ቅናሽ አላገኘሁም,Negative,Service
በቴሌ ብር አሸናፊ ነኝ ሽልማቱ አልደረሰኝም,Negative,Service
እንደው ቴሌ ምን አድርጌ  ገደብ አልባ እንተርኔት ልክ እንድ  የሆ ሲያወርድ ,Negative,Service
 ኔትወርክ በመዘጋቱ ያልተጠቀምኩበት ወርሃዊ   የኢንተርኔት ጥቅል እንድትመልሱልኝ በተደጋጋሚ ብጠይቅም ምላሽ አትሰጡኝም,Negative,Quality
 ክልል ከ በላይ ማንኛውም ኔትወርክ በደንብ አይሰራም,Negative,Price
በኛው ክፍለ ዘመን ምንም ኔትወርክ የማይሰራበት ቦታዎች አሉ ለህመምተኛ እንኳን አንቡላንስ ለመጠየቅ የምትቸገርበት,Negative,Service
የተንቀሳቃሽ ገመድ አልባ አውታር መረብ የማውረጃ ፍጥነቱ እጅግ በጣም ዘገምተኛ ,Negative,Service
 አገልግሎት ለማግኘት ወደ ቴሌ ስሄድ እንደ መንግሥት ሆስፒታል ወረፋው መከራ ,Negative,Service
  የገዛውን የአንድ ሰው መስመር ፍጥነቱን መቀነስ አይከብድም,Negative,Quality
ምን ያደርጋል ስሙ ብቻ  ያለው ጥራት የሚባለውን ነገር በጣም እሩቅ ,Negative,Service
እየተዘረፍን እማ አንኖርም,Negative,Quality
ቴክኖሎጂ ማለት ዋናው አላማው እየገባችሁ አይደለምእስኪ ሌሎች ሀገራትን ተመልከቱዋናው ጉዳይ እኮ ህብረተሰቡን ቴክኖሎጂ ተጠቃሚ ማድረግ ማዘመን ,Negative,Quality
ከተቻለ በዝቅተኛ ዋጋ ካልተቻለ በተመጣጣኝ ዋጋ እናተ ትኩረት ያደረጋችሁት ብር መሰብሰብ ብቻ ታሪፋችሁን አሻሽሉ ሃይ ምን ጉድ ናችሁ ,Negative,Quality
ሳዝናል የማዕከል ሐላፊዎቹም እምብዛም የኔትወርኩ ከሰፈር ሰፈር መለያየት አያስጨንቃቸውም በየሱቁ እየዞሩ ገበያቸውን ይከታተሉ እንጅ,Negative,Service
ተጠቃሚውም አንዴ ጥቅል  መደበኛ  የሎተሪ የበዓል የምናምነቴ እያላችሁ አታሰልቹት,Negative,Service
በተለይ የሌሊት የኢንተርኔት ጥቅል በጣም ችግር አለበት ም በፍጥነት የሚያልቀው አቤት ዘረፋ,Negative,Quality
 ላይ ያሉት ኦፕሬተሮችን ለማግኘት ሥንት ቀን እንጠብቅ ላይ ያሉት ኦፕሬተሮችን ለማግኘት ሥንት ቀን እንጠብቅ,Negative,Service
እኔ የናፈቀኝ ሄሎ ይሰማል አይሰማም የሚለዉን ቃል መስማት የማልችልበትን ግዜ ነዉ,Negative,Service
ቴሌ በመስታወቂያ የሚነነገረዉ እና በተግባር የሚታየው ነገር የሰማይና የምድር   ተብለው የሚሸጠው የኔትወርክ እንደው የሚያስቅ  አረ ተው,Negative,Price
ሚገርመው ግን በዞን ከተሞች ላይ እንኳን ኔትወርክ ቤት ውስጥ እንደልብ አይሰራም,Negative,Service
ቴክኖሎጂ ማስፋፋቱ የሚበረታታ ቢሆንም ከህዝቡ አቅም ጋር የማይሄድና አሳፋሪ የሆነ ታሪፍ ያለን ሀገር መሆናችንም መዘንጋት የለብንም,Negative,Service
የኔትወርክ ማጥፋትና ማቋረጥ ምንድን ,Negative,Price
በዛሬው ዕለት የኢንተርኔት መስመሬ መዘጋቱን አርድታችሁኛል ነገር ግን መንስኤውን ማወቅ አለቻልኩም,Negative,Service
ኧረ እሱን ትታችሁ በተለይ በገጠሩ አካባቤ ኔትዎርክ መደወል እንኳን በአግባቡ አይሰራም ምናለ እሱን ብታስተካክሉልን??,Negative,Quality
አሁንም ድረስ ኔትወርክ የማይሰራበት ቦታ አለ,Negative,Quality
ዳታው በጣም እየቆጠረብን ተቸግረናል መፍትሄው ምን ይሁን,Negative,Quality
ቅድሚያ ለወረዳዎች  ኔትወርክ አሳድጉ በአግባቡ  አገልግሎት ማግኛት አልቻልንም,Negative,Price
በቃ ተቋማችሁ ጥሩ እንቅስቃሴ ላይ ሆኖም ግን   ወኪል ብላችሁ ያኖራችኋቸው ሰዎች ግን ለምልክት እንጅ ስራ ምንም እየሰሩ አድለም,Negative,Quality
አሁንም ያንሳል የምርት አቅርቦት ችግር አለ,Negative,Service
ይህ ሁሉ ሲሆን እኛ ግን ዛሬም በሳምንት ውስጥ  ቀን በሚሠራ   እየተሠቃየን  ,Negative,Quality
 እኔ በምኖርበት አከባቢ ባለ ገመድ በንተርኔት በወር ዉስጥ ቀን ቢሰራ ይቆረጣል ,Negative,Quality
እረ ለምንድ ቴሌዎች ተቸገርን እኮ ስልክ ጠፍቶብን ሲሙን ከቴሌ ለማውጣት ብንሔድ ሲሙን  አስከፍቱ ተባልን,Negative,Quality
እኔ የ አገልግሎት ለማግኘት በሀላባ ማዕከል ተመዝግቤ ደውለን እንጠረሃለን ካሉኝ  ወር አለፈ እና አገልግሎቱን ለማግኘት ይህን ያህል ጊዜ መውሰዱ ኖርማል ?,Negative,Quality
እኛ በኔቶርክ ችግር ታሳቀይተነል እትዮ ቴሌ,Negative,Service
 አብዛኛው አከባቢ የቴሌ ምርት አይደርስም,Negative,Accessability 
አሻም ቴሌ ከጥቅል አገልግሎት ዳታ እና ድምጽ ስንጠቀም ነጥብ አይሰጥም ,Negative,Quality
የኔ ዋይፋይ  k  ነበረችና ምንም ፍጥነት የለውም,Negative,Quality
እኛ አበላላችሁን ቀንሱልን  እንጂ  ጅብ ላኩልን አላልንም,Negative,Service
ያለ ምንም ችግር እየዘጋቹህብን አይደል አንዳንድ ቦታ ላይ,Negative,Service
ቴሌ ገቢ እንጂ ውጪ አያቅም ተቆረጥን ብትባሉ አትመልሱ,Negative,Quality
 ጥራት የምትሏትን እቃወማለሁ,Negative,Accessability 
ከእኛ አንድ ብር ሁለት ብር አየቆረጣችሁ አለምንም ምክናየት ከእንታ ፖኬጅ ስንገዛ ግን አምስት ሳንቲም ብትጎል አይገዛም ,Negative,Service
አለአግባብ አትብሉ ትርፋማ ትርፋማ እያለችሁ ማውራት አይታክታችሁም,Negative,Quality
