Comment,Sentiment,Aspect
ኢትዮ ቴሌኮም ሰመራ ቅርንጫፍ አንድም ስልክ ማግኘት አልቻልንም ከናንተው ሰራተኛ ባገኘሁት መረጃ መሠረት የናንተው ሰዎች አውጥተው ጨርሰውታል በዘመድ ነው ካገኘህም ተብያለሁ!,Negative,Accessability 
እስፔርና መለዋወጫ የሌላቸው ስልኮችና ታቦች እየሽጣቹልን የኛንም ገንዘብና ግዜ የአገሪቷንም ምንዛሪ ታባክናላቹ አንድም ከቴሌ የምንገዛቸው ስልኮች እጋዊ ወኪል የሌላቸውና የሰርቢስ ሴንተር የሌላቸው ናቸው,Negative,Accessability 
4G ና 3G እያላቹህ ዝረፉን እንኳን ዘንቦብሽ ድሮም ጤዛ ነሽ አለ የሃገሬ ሰው !! አሁንስ ካርድ መሙላት አስጠላኝ 😭😭😭😭,Negative,Price
ምን ዋጋ አለው ቴሌ ብር መጠቀም አልቻልንም መልቲፕል ፒን ተጠቀማችሁ ብሎ አካውንት ይዘጋል 127 በመደወል complain አድርጉ ይላል ስልኩ አይሰራም የማይሰራ ሲስተም ፈጥራችሁ ገንዘብ መልቀም ብቻ አሰራራችሁን ፈትሹ,Negative,Service
ኧረ መጀመሪያ እንደወጉ አ.አ በደንብ ይስራ እስቲ። በባዶ መዶለት ይደብራል!አዲስአበባ ኮንደሚኒየም በሙሉ ኢንተርኔት ይቅርና የስልክ መነጋገሪያ ኔትዎርክ የለም ኧረ ተው ግን በዚች ምስኪን ሀገር አትቀልዱብን እንዴ አሁንስ በዛ,Negative,Service
ለ1 ወር ጅማ ላይ ለህብረተሰቡ የቀረበው ቅናሽ ስልክ በ1 ቀን አለቀ ተባልን ለማን አቤት ይባላል😭😭😭,Negative,Accessability 
ስላም ኢትዬ ቴሌኮም ሁልግዜ ቀደማችሁ የምትስሩ እናንተ የፍለጋችሁትን አካባቢ ነው ለምን ከቅርብ ከመጀመረ ከሩቅ አትጅምሩም ለህዝብ ሲባል እንጅ ለእናንት ቅርብ ስለሆነ ብቻ መሆን የለበትም ስሜን ምዕራብ ሪጅን አይታችሁት አታውቁም ታሳዝናላችሁ አማራ ክልል በጌ ምድር አልስራችሁትም የፌስቡክ እና የታይታ ስራ ለኢትዬጵያ አይጠቅማትም ሁሉንም የኢትዬጵያን ክልሎች በእኩል አይን እዩት::,Negative,Accessability 
Ethio telecom ኧረ ተው በጣም ደካማ የሆነ ማርኬት ስትራተጂ ነው እየተጠቀማቹ ያላችሁት።እናንተ በ ቴሌብር ግብይት ከመፈጸማችሁ ውጪ ሌላው ህበረተሰብ በቴሌብር እምብዛም አይገበያይም አይጠቀምም። ሲስተሙ አዲስ ስለሆነ ብዙ ሰው ስላላወቀው የሚል መልስ በጭራሽ ውሃ አያነሳም።ምክንያቱም እኔ እራሴ ለመጠቀም በጣም ሞከርኩኝ ሲስተሙም ደግሞ አዛ ነው።በርግጥ እንደመጀመርያ አዛ ነው ስል አጋንዬው ሊሆን ይችላል ግን በጣም መሰራት እንዳለበት ነው።,Negative,Service
የማታፍሩ አሳፋሪዎች ደሞ ከቻላችሁ ይሄን መልክት በስልኬ እይዳትልኩልኝ ለመሆኑ ኢትዮጵያ ውስጥ ስንት ፐርሰንቱ ነው ኔትዎርክ ማግኘት የቻለ እንደ ኤሊ ሰርታችሁ እንደ አቦሸማኔ አትንደላቀቁ,Negative,Service
ጥሩ ይዛችኋል። ስለአጠቃቀሙ ሰው በቀላሉ በሚረዳው መልኩ በየቋንቋው ከሶስት ደቂቃ ባልበለጠ ቪድዮ ብታዘጋጁና በየሚድያው ብታቀርቡ የበለጠ ጥሩ ይመስለኛል። ሶፍትዌሩ ትንሽ ችግር አለበት፤,Negative,Quality
የማይረባ መስሪያ ቤት ዋይፋይ ከተቋረጠብኝ ሁለት ሳምንት ሞልቷል ግን እስካሁን ምንም የተደረገልኝ ነገር የለም። ወሩ ሲመጣ ግን ታስከፍሉኛላችሁ በነፃ,Negative,Service
አር በጣም ጥሩ ሃሳብ ነው እስካሁን የት ነበራችሁ እስካሁን ዘመንን ብላቺሁ ያዘመናቺሁትን ሀሳብ ከ ሀገር ልጂ ላለመቀበል ነው ወይስ ሌላ ግዳጂ ነበርባቺሁ ሁሉንም የማዘመን ሀሳባቺሁን ለመተግበር ዘገያችሁ sorry በጣም,Negative,Service
" ከባንክ በምን ይለያል ገንዘብ ለማስገባት በየመንደሩ ""የቴሌ ወኪልን ያያቹቹ ልጆች እባካቹ"" አያልን ስንዞር 🤔 ከባንኮቹ ጋር ለመስራት ሞክሩ😡",Negative,Service
በጣም አቸጋሪ ነው አፕልከሽን አወሪደናል ግን ስልክ ቁጥሪ ስናስገባ ትክክል አይደለም ነው የምለው እስክ ትክክለኛ ማብራሪያ ብትልኩልን,Negative,Quality
እንዳሰብነው አይደለም! መቼስ ባንክ እያለ ገንዘብ ቁጠባ ብለን ገና ኤጀንት ፍለጋ አንዞርም! ቤት ተቀምጠን ገንዘብ ማስገባት ምንችልበትን ዘዴ አመቻቹ,Negative,Accessability 
የማይሠራ ሊንክ እየለጠፋችሁ ሠው አታሥቸግሩ መጀመሪያ ሰርቨራችሁን ማኔጅ አድርጉ,Negative,Service
አፑ አይወርድም።ለምንድነው ድርቅና የሚታበዙ? ስታስጠሉ ኤጭ!!!,Negative,Service
እባካችሁ እኔም ካርድ ለመሙላት ተቸግሬአለሁ ብሬ ሳላዉቅ እየተቆረጠብኝ ነዉ። መላ በሉኝ,Negative,Price
በጤና ይቆዩ የኢንተርኔት ጥቅል እቢ አለኝ opration failed ይላል።ደጋግሜ 994 ደውዬ መፍትሔ ካለው ብዬ ብጠይቅም ለሚመለከተው ክፍል አስተላልፈንልሀል ይሉኛል ግን ለውጥ የለውም።,Negative,Service
 የኢንተርኔት ፓኬጅ ገዝተን በደቂቃ ውስጥ አለቀ የሚል መልክት ይደርሳል አንድ በሉት አይመጥንም,Negative,Price
ማታ ማታ ባኬጅ ለመግዛት በጣም በጣም ነው የሚያስቸግረው እንዲያውም የለም ማለት ሁላ ይቻላል በተለይ እኔ ያለሁበት መቂ ከተማ ኔትወርኩ አማራሪ ነው እና ቢስተካከሉ ባይ ነኝ,Negative,Service
ኧረ ኢትዮ ቴሌኮም ሰሞኑን ባህር ዳር ላይ የቤት ብሮድባንዶች ምንም እየሰሩልን አይደለም ስናስመዘግብም ተራ ሲደርሰን ባለሙያወች ደውለው የሁሉም ነው ችግሩ ይሉናል መፍትሄ ግን የለም::,Negative,Service
My ethio tel በስልኬ ላይ ብጭነውም አልሰራም ብሎኛል,Negative,Service
999 አይሰራም በጣም አሰልቺ ነው ኧረ አስተካክሉት,Negative,Service
የገዛነው ጥቅል አገልግሎት ሳያለቅ ያለን ቀሪ ሂሳብ እየተቆረጠብን ነው።,Negative,Price
994 ከትላንት ጀምሮ አይሰራም እባካችሁ,Negative,Service
በሶማሌ ክልል ሁሉም 4 ጂ አገልግሎቶች አይገኙም የሞባይል ብሮድባንድ ጥራት በጣም ዝቅተኛ እና ከአንድ ወር በታች ያልዘለቀ ነው ,Negative,Accessability 
የዋይፋይ መስመር ተጠቃሚ ብንሆንም ፍጥነቱ ግን ቀርፋፋ ነው።ከዚህ 994 ደውለን ብናሳውቅም አልተስተካከለም።,Negative,Quality
በእውነት በተለይ wi fi ክፍል ከፍተኛ እንግልት እያደረሱብን ነው የሚመለከተው አካል ካለ እባካችሁ ህዝብ አታሠቃዩ ፈጣሪን ፍሩ በወገናቹህ አትቀልዱ ።,Negative,Service
ደጋግሜ ሞከርኩ ግን አይሰራም,Negative,Service
በጤና ይቆዩ የኢንተርኔት ጥቅል አይሰራም,Negative,Service
እባካቹ ያላግባብ ባላንስ እየተቆረጠብኝ ነው,Negative,Price
ከትላንት ጀምር ethio tel App አይሰራም!,Negative,Service
"""አገልግሎቱ ለጊዜው በስራ ላይ አልዋለም"" ነው የሚለው አብዛኛዎቹን አገልግሎት ስንጠይቅ።",Negative,Service
ቀፎየ ሲም ካርድ አላነብ አለ ?,Negative,Service
ሌቦች,Negative,Service
እባካችሁ ስልኬ እያስቸገርኝ ነው ብር እየቆርጠብኝ ነው እና የሚቆርጥብኝን ነገር እባካችሁ ዝጉልኝ ውድ ኢትዮ ቴሌኮም,Negative,Price
ኢትዮ ቴሌኮም የምትወስድበት እርምጃ ምንድነው ?በማህበራዊ ሚድያ ሕዝብን ለማጭበርበር የወጣ,Negative,Service
ኢትዮቴሌኮም እባካችሁ አጭር ሜሰድ አቁሙልን የሁላችን ጥያቄ ነው ሳንፈቅ አንድ አንድ ብር እየተቆረጠ በዚ የሚያማርር ደምበኛ ቤቱ ይቁጠረው,Negative,Price
መተግበሪያችው በፍፁም አይከፍትም በጣም ብዙ ጊዜ ሞከርኩት ,Negative,Service
እናዘምናለን ብላቹ ጭራሽ በፊት የሚሰራውንም አጠፋቹብን *999#?,Negative,Service
እረ ተው እናንተ የቴሌ ሰራተኛ ቢያንስ ለምትጠየቁት ጥያቄ በቂ የሆነ ማብራሪያ ስጡን እኔ እንኳን ስንት ጊዜ ነው ወደ 994 የደወልኩት ነገር ግን ሲነሳም የተለያየ ሀሳብ ነው  ,Negative,Service
የwifi አገልግሎት ደበኛ ሆነን ሳል አልሠራም ሲለን አስተካክሉ ስንላቸዉ ገንዘብ አምጣ አሉ,Negative,Service
ይሔ ሥልክ ጥቅል አልገዛ አለኝ በተለይ በጤና ይቆዩ የሚለውን አልገዛልኝ ብሏል,Negative,Service
ሀላባና አከባቢውስ መች ነው የ4 ጂ ኔትወርክ አይደለም ያለው 3ጂ ኔትወርኩም እንኳን በትክክል አይሰራም ችግሩስ መች ነው ምፈተዉ?,Negative,Accessability 
አውርጀው ነበረ አይሠራም,Negative,Service
በዳታ ነው የሚሰራው አፑ አውርጄዋለሁ ያስጠላል,Negative,Service
አፑን አውርጀው ግን አይሠራም,Negative,Service
በራሳችን ሳንቲም እንጂ በእናንተ ዳታዉ እየሰራ አይደለም,Negative,Service
ኧረ አይሰራም ምንድነው,Negative,Service
ኧረ እስካሁን የኢንተርኔት ስጦታው አልሰራልኝም,Negative,Service
ይህው የተሠጠኝ ሥጦታ አልሠራ ብሉ በራሤ ገንዘብ በመጠቀም ላይ እገኛለሁ !!,Negative,Price
በየግዜው የሚበላሸውና የሚቆራረጠውን WiFi ችግርም ለመፍታት ሞክሩ የኔ WiFi በየግዜው ይበላሻል ችግሩ ምን እንደሆነ አልገባኝም አሁንም እየሰራ አደለም ። የብዙ ደንበኞቻችሁ ችግርም እንደሆነ ነው ። መፍትሄ ስጡን ።,Negative,Quality
ኧረ የwifi መቆራረጥ ና ዘገምተኛነቱ ቢስተካከል,Negative,Quality
ለምን እንደሆነ ባለውቅም እኔ በግሌ በምትሰጡት አገልግሎት ደስተኛ አይደለሁም። ለምሳሌ በሾርት ኮድ ሜሴጅ ያለ    እኛ ፈቃድ  ምዝገባ  ሳናደርግ ከአካውንታችን ላይ ገንዘብ የሚወስዱ ድርጅቶችን ፈቃድ ሰጥታችሁ ማሰማራታችሁ ፤ የ*999# አገልግሎት ለመጠቀም በምሞክርበት ጊዜ ተደጋጋሚ እና አሰልቺ የሆነ ሙከራ ተደርጎ የሚሰራ መሆኑ በተለይ በዚህ ሰሞን ጭራሽ እየባሰበት ሄዶ ዛሬ ሙሉ ለሙሉ ተቋርጧል። ,Negative,Price
ላደረጋችሁት ጥረት እናመሰግናለን ነገር ግን ማስፋፊያውን እየሰራችሁ መሆኑን መስማት የሚያስገርም ነው። የጥገና ቢሮአችሁ በአንድ ወር ውስጥ ለቅሬታዎች ምላሽ አይሰጥም። የእርስዎ ቢሮ ቅሬታ ያሰማል😀 አሁን ጥራት እና የተሻለ ደንበኞች አገልግሎት ላይ ማተኮር ያስፈልግዎታል,Negative,Service
ለምጠይቀዉ ጥያቄ እስካሁን ምላሽ አላገኘዉም ::,Negative,Service
ለምን እንደሆነ ባለውቅም እኔ በግሌ በምትሰጡት አገልግሎት ደስተኛ አይደለሁም።ለምሳሌ በሾርት ኮድ ሜሴጅ ያለ እኛ  ፈቃድ ምዝገባ ሳናደርግ ከአካውንታችን ላይ ገንዘብ የሚወስዱ ድርጅቶችን ፈቃድ ሰጥታችሁ ማሰማራታችሁ ፤ የ*999# አገልግሎት ለመጠቀም በምሞክርበት ጊዜ ተደጋጋሚ እና አሰልቺ የሆነ ሙከራ ተደርጎ የሚሰራ መሆኑ በተለይ በዚህ ሰሞን ጭራሽ እየባሰበት ሄዶ ዛሬ ሙሉ ለሙሉ ተቋርጧል። ,Negative,Price
ለምንድነው? brodband 1mb download speed 40kbs nw bechayen nw gen metkmew passwordm qeyre yaw nw,Negative,Quality
ኢትዮ ቴሌኮም ከፍተኛ የመረጃ አጠቃቀም ላላቸው አካባቢዎች አዳዲስ አገልግሎቶችን በማካሄድ ላይ ቢሆንም ኩባንያው ለመላው #Tigray የስልክ መስመሮች አሁን ከ 2 ሳምንት በላይ የሚቆረጡበትን ምክንያት ሳይነግረን ቀርቷል። በዚህም ምክንያት ለማንኛውም ቤተሰብ ና ጓደኞች መድረስ አንችልም።,Negative,Accessability 
ስልኬ ሰርቪስ እደማይሰጥ ተናግሬ ይስተካከላል ተብዬ IME ነግሬአቹ የተፈጠረ ነገር ግን የለም,Negative,Service
አሁን ያለው ሁኔታ ደሞ 2G ራሱ አይሰራም 😭😭😭,Negative,Quality
በቴሌብር ጥቅል ስገዛ ብሩን ወስዶ ጥቅሉ አልተለቀቀልኝም,Negative,Price
የኢትዮቴል አፕሊኬሽኔ ለ3 ቀናት አይሰራም😤,Negative,Service
ውድ ኢትዮ ቴሌኮም፣ 3G 4G ያልተጀመረበትን አካባቢ እየሰራ አይደለም,Negative,Accessability 
እናመሰግናለን ኢትዮ ተሌኮም🙏🙏 የኔ ቅረታ ከሌሎች የአፍርካ ሃገራት ኢትዮጵያ በኢንተርኔት ታርፍ ከፍተኛ ናት ግን ገና ብዙ መሰረተ ልማትና የኢንተርኔትተጠቃሚ ባልበዛባት ደሃ ሃገር ለምን ታርፍ አበዛችሁ?? እባካችሁ ከኬንያና ለሎች አፍሪካ ሃገራት ተማሩ የኢንተርኔት ቆጠራውን አልቻልንም እባካችሁ ታርፍ አስተካክሉ,Negative,Price
የአመቱን በጀት በስድስት ወር እየሰበሰባችሁ ዛሬ ቅናሽ ስትሉ ትንሽ አታፍሩም ደግሞ እንዲህ ተናገረ ብላችሁ ስልኬን ዝጉት መቼም የእኛ ሀገር ህግ  አይከበር 0.05 እኮ ነው 14% የሚሉን ,Negative,Price
በጤና ይቆዩ ጥቅል አግልግሎቱን ወደ ቦታ መልሱልን ትንሸ ይሻለናል እናመሰግናል ነገሮችን ከእኛ ኢኮኖሚ ጋራ እንድመጣጥን ብታደረጉልን,Negative,Price
ይህን የኢትዮ ቴሌኮም ኩባንያ መጋበዝ አልፈልግም። ምክንያቱም በጣም ውድ ነው እና አብዛኛውን ጊዜ ይጨናነቃል.,Negative,Price
ፓኬጅ ለመግዛት ብቻ 1000ግዜ ይሆናል የሞከርኩት ኸረ አስተካክሉት,Negative,Service
የስዳማ ክልል ውስጥ ቡርሳና አርበጎና ወሬዳ ውስጥ ነትወርክ የለም።በተለይ ቡርሳ ወረዳ ውስጥ ቱትቻ የምትባል ከተማ ውስጥ ያለ አንተና ሳይሰራ ቆይቶሀል።ችግራችን ቶሎ.............,Negative,Accessability 
Ethio telecom ኧረ ተው በጣም ደካማ የሆነ ማርኬት ስትራተጂ ነው እየተጠቀማቹ ያላችሁት።እናንተ በ ቴሌብር ግብይት ከመፈጸማችሁ ውጪ ሌላው ህበረተሰብ በቴሌብር እምብዛም አይገበያይም አይጠቀምም። ሲስተሙ አዲስ ስለሆነ ብዙ ሰው ስላላወቀው የሚል መልስ በጭራሽ ውሃ አያነሳም።ምክንያቱም እኔ እራሴ ለመጠቀም በጣም ሞከርኩኝ ሲስተሙም ደግሞ አዛ ነው።በርግጥ እንደመጀመርያ አዛ ነው ስል አጋንዬው ሊሆን ይችላል ግን በጣም መሰራት እንዳለበት ነው።,Negative,Service
ኧረ ስጦታ ብላችሁ ጋጣችሁኝ ነው መስሪያ ቤቱ ግቢ ብቻ ነው እሚሰራው🙄😏🚶🚶🚶,Negative,Price
ቴክኒሽያንዎ በተለይ ለቤት ዎይ-ፋይ ጥገና ጥገና ምላሽ ለመስጠት በጣም አዝጋሚ ናቸው,Negative,Service
 መቀለድ አቁሙ !!!! ኢትዮ ቴሌኮም ለሞባይል ዳታ መቀነስ አለበት,Negative,Price
ኢትዮ ቴሌኮም በዓለም ላይ ካለው ከማንኛውም የቴሌኮም ኩባንያ እጅግ ውድ የሆነ የኢንተርኔት አገልግሎት ይሰጣል። ከዚህ የበለጠ ገቢ እንደምታገኙ ጠብቄ ነበር!,Negative,Price
 አደረኩ እና ምንም አልተለወጠም ሁላችንም አአ ውስጥ 4g 3g መሆኑን እናውቃለን,Negative,Service
ብር ነው ያጣን እንጅ መች እምናስቀምጥበት አጣን ሌላ ዘደ ካላችሁ ሞክሩ,Negative,Price
1GB ብትሰጡን ያው በሌላ ቀን በደንብ ትወሰዳላችሁ 😔😔 ታሪፉን አስተካክሉት በኮሮና ሰዓት የነበረው አይነት አድርጉት በቤቶ ይቆዩ የሚለው አሁን እኮ ዘረፋ ነው እረ ቀንሱት አብዛኛው ወጣት ስራ አጥ ነው ስራ በሌለበት ሀገር እንዲህ በስወደዱ ተገቢ አይደለም mb ለስም እንጂ በጣም ቶሎ ነው የሚያልቀው plz ይስተካከል።,Negative,Price
ለምን ነው ስጦታችሁንን ሌሊት ያደረጋችሁት እኛኮ ኢትዮጵያዊ ነን ማታ የእንቅልፍ ሰዓታችን ነው😭,Negative,Service
እንኳን ደስስ አላችሁ ማለት አልፈልግም ባታተርፉ ነበር የሚደንቀን,Negative,Service
አሁን ያለው ሁኔታ ደሞ 2G ራሱ አይሰራም 😭😭😭,Negative,Quality
ቆይ ከሌሊቱ 6 -12 ምን እንዲሰራልን ነው ይሄማ ስጦታ አይደለም,Negative,Service
ስጦታ በምትሰጡበት ጊዜ simultaniousyou you make network too weeeeeek.... ይህ ስጦታህ ላይ ደስተኛ እንዳልሆን አድርጎኛል አመሰግናለሁ.....,Negative,Quality
ጥሩ ነበር ግን ለምን ምሽት እንዳንጠቀምባችሁ ነው እረ ዘይገረም ነው ብልጦች ከምር እንዴት ቢያንስ ሶስት ቀን ለመልቀቅ,Negative,Service
ጥቅም የለሽ GB ነው:: እኛ እንቅልፍ እንፈልጋለንና,Negative,Service
አይ ኢትዮጵያየ ገና ሀሎ ብየ ሳልጨርስ ያለዎት ቀሪ ሂሳብ አያገናኝዎትም እባክዎ እንደገና ሞልተው ይሞክሩ ድሀውን መበዝበዝ ፈጣሪም አይወደው,Negative,Price
ችጋራሞች ከሰጣችሁ አይቀር ሰው በሚጠቀምበት ሠአት አትሰጡንም ምን ለማለት ፈልጋችሁ ነው ከሌሊቱ 6 ሰዓት - 12 ሰዓት ?,Negative,Service
ምን ዋጋ አለው! የኢንተርኔት ፍጥነቱ ስለምትቀንሱት ሳንጠቀምበት ያልፋል።,Negative,Quality
Hooooooo አመቱን ሙሉ የዘርፋቹትን ነው ትርፍ ያላችሁት ? ይሄ አያስደንቅም ይልቁን ብትቀንሱልን ነው ሚሻለው ይሄ shame ነው,Negative,Price
Wifi ብለው በወር አንድ ሳምንት አስጠቅመው ሆን ብለው የሚያበላሹ በጣም ገራሚ ጅቦች,Negative,Service
ንፉግ የሆነ ድርጅት,Negative,Service
ethiotel 103 ከተሞች 4ጂ Lite መስራት ጀምሯል ኢየተባሌ ይሠማል። አንድ አንድ ከተሞች 2ጂ እራሱ ኢየሠራ አይዴለም: እነዛ ከተሞች፦ለምሣሌ:-ሲዳማ ክልል ዉስጥ በንሳ ዳዬ ሲሆን በአሁ ጊዜ እንኳን 2ጂ ኢየሠራ አይዴለም:,Negative,Accessability 
እኔ ምለው ሰውን ለምን ትዋሻላቹ ለ5 ሰዎች ጋብዤ 300 ፍሌክስ አልተሰጠኝም ለምን ግን,Negative,Price
ያስጠላል,Negative,Service
ክቡርነቶ በዚህ አያያዞ በቴሌ ብር መተግበሪይ ችግኝ ምንተክልበትን መንገድ ያበጁልናል 💪🙏 Good job 👍,Negative,Service
እኔ ከአስር ሰው በላይ ጋብዣለሁ ግን ምንም የለም እማታደርጉትን ነገር አትዋሹ,Negative,Service
I didn't get the bonus eko😳,Negative,Service
አረ ቡዙ ጋብዠለው ግን ከነታ በኩል የጋበዥነት ቁጥር እንጅ ምንም ጥቅል አልደረስኝም,Negative,Service
ቲሽ!ሲጀመር ቴሌ ብር መች ይሠራልና፤ዝም ብላችሁ አትቀደዱ,Negative,Service
በጣም ብዙ ሰው ጋበዝኩኝ ግን ስጦታው የለም!,Negative,Service
126 sms ምንም አይነት ሰርቪስ አይሰጥም ካንድም ሁለቴ ሞክሬዋለው እባካችሁ ይስተካከል,Negative,Service
"
የሞባይል ኢንተርኔት በጣም ውድ ነው! እባክዎ ያስቡበት",Negative,Price
ኢኮኖሚው እያሻቀበ ነው። ኢትዮ ቴሌኮም ግን በየቀኑ ወደኋላ እያደገ ነው። የኢንተርኔት ጥራት ማየት የነበረበት,Negative,Quality
የማይረባ መስሪያ ቤት ዋይፋይ ከተቋረጠብኝ ሁለት ሳምንት ሞልቷል ግን እስካሁን ምንም የተደረገልኝ ነገር የለም። ወሩ ሲመጣ ግን ታስከፍሉኛላችሁ በነፃ,Negative,Service
አስመሳይ ተቋም ነው ይሄ ተቋም ገጠሮቹ ኢትዮጵያን አደሉም ወይ ከተሞች ወደ4G ተቀይረዋል አብዛኛው ገጠር ግን 2G ን በሚገዛ አያገኙም ዳገት ለዳገት እየሄዱ ይደዋወላሉ አታስመስሉ ለሁሉም አዳርሱ,Negative,Accessability 
አር በጣም ጥሩ ሃሳብ ነው እስካሁን የት ነበራችሁ እስካሁን ዘመንን ብላቺሁ ያዘመናቺሁትን ሀሳብ ከ ሀገር ልጂ ላለመቀበል ነው ወይስ ሌላ ግዳጂ ነበርባቺሁ ሁሉንም የማዘመን ሀሳባቺሁን ለመተግበር ዘገያችሁ sorry በጣም,Negative,Service
ኧረ በፈጠራችሁ ይሄን የማይረባ ቴክስታችሁን ተውን ስልካችን እኮ የናንተ ማስታወቂያ መስሪያ አደረጋችሁት አሰለቻችሁን!!!,Negative,Service
mokrku gin liseralgne alchalem 😭😭,Negative,Service
ጓደኛ በመጋበዝ ተጨማሪ ሽልማት አለው የሚለውን አይቼ በርካታ ተጠቃሚዎችን እየጋበዝኩ የቴሌብር ተጠቃሚ አድርጌ ነበር ግን ምንም የተሰጠኝ ነገር የለም,Negative,Service
እረ ጉዳችሁን ስሙ ሃረር ላይ 4G ይሰራል Upgrade አድርጉልን ስንል መመሪያ አልተሰጠንም ብለው ከለከሉን አይገርምም,Negative,Service
ዳታ መግዛት አልቻልንም እባካችሁ ተቸግረናል መላ በሉን,Negative,Service
አይሰራም የእኔEthio tel app package please make me,Negative,Service
ለበዓላት በቅናሽ ለደንበኞች የሚቀርበው ፓኬጅ በተለይ የዳታ ፓኬጅ ከወትሮው የተለየና ደካማ ነው። መደበኛውን በውድ ቢገዛ ትንሽ ይሻላል።,Negative,Price
አንድ ኩባንያ በመላ ሀገሪቱ በብሮድባንድ ኢንተርኔት እና ጥራት ያለው የድረሱልን አገልግሎት ለማስፋት ለምን ረጅም ጊዜ ይወስድበታል? 🤔 ስለ ኢንተርኔት አጠገባቸው እንወጣለን። አንዳንዶቼ ወደ ተራራው ለመድረስ እና ጥሪ ለማድረግ ከ1ኪሜ እስከ 3 ኪ.ሜ በእግረ መንገድ መጓዝ አለብን። እኔ ማለቴ በ21ኛው ክፍለ ዘመን ህዝብ ነው። ለምናደርገው ነገር እራሳችንን እንስጥና የህዝባችንን ህይወት እንቀይር። ኢትዮጵያ የ112ሚ. ህዝብ ብዛት ያላት ሀገር ብትሆንም እናንተ የምታገለግሉት ግን ዋና ከተማ (6M)😟 ብቻ ነው። በእነዚህ ድርጅቶች ውስጥ ያሉ ሰዎች ተስፋ አጥተውኛል 😒,Negative,Accessability 
ይህ ስጦታ አይደለም ! ከትቻለ ለምስራቅ አካባቢ 1GB ማቅረብ አለበት። አለበለዚያ እንዲህ አይነት የቂልነት ማጭበርበር መልዕክት አታስቀምጥ 👎,Negative,Service
ጭራሽ የኢንተርኔት ዋጋውን እየጨመራችሁ መጣችሁ።ኧረ በህግ አምላክ አስተካክሉ?ስለ ህግ!,Negative,Price
በብሮድባንድ ኢንተርኔት ተመዝግበው ሩተርን ከገዛሁ አንድ ዓመት ገደማ ሆኖኛል። አሁንም መጥቶ የሚገጥም ቴክኒሽያን የለም። ኢትዮ ቴሌኮም እንዴት እንደሚሰራ አላውቅም.😞,Negative,Service
